,date,amount
0,2026-04-26,2207
1,2026-04-27,4775
2,2026-04-28,4030
3,2026-04-29,5258
4,2026-04-30,3709
5,2026-05-01,3683
6,2026-05-02,10380
7,2026-05-03,23334
8,2026-05-04,6006
9,2026-05-05,8164
10,2026-05-06,3064
11,2026-05-07,4205
12,2026-05-08,5467
13,2026-05-09,6500
14,2026-05-10,3595
15,2026-05-11,6043
16,2026-05-12,3745
17,2026-05-13,7204
18,2026-05-14,3924
19,2026-05-15,8316
20,2026-05-16,4098
21,2026-05-17,4935
22,2026-05-18,4433
23,2026-05-19,4390
24,2026-05-20,9948
25,2026-05-21,3500
26,2026-05-22,5422
27,2026-05-23,7764
28,2026-05-24,4448
29,2026-05-25,3688
30,2026-05-26,4320
